"brokered_by","status","price","bed","bath","acre_lot","street","city","state","zip_code","house_size","prev_sold_date"
67256,"for_sale                      ",215000,4,2,"0.21",327572,"Omaha","Nebraska                      ","68137",1608,"2021-07-07"
67258,"for_sale                      ",295000,3,2,"0.15",463974,"Omaha","Nebraska                      ","68116",1858,"2018-09-21"
8035,"for_sale                      ",365000,6,3,"0.12",1014251,"Omaha","Nebraska                      ","68131",1944,"2021-04-02"
33718,"for_sale                      ",249900,3,2,"0.15",1675643,"Omaha","Nebraska                      ","68138",1420,"2018-03-05"
58476,"for_sale                      ",220000,3,3,"0.12",694168,"Omaha","Nebraska                      ","68164",980,"2021-06-24"
67256,"for_sale                      ",145000,3,1,"0.1",1253987,"Omaha","Nebraska                      ","68104",1244,"2015-09-17"
11472,"for_sale                      ",309500,3,4,"0.11",538232,"Omaha","Nebraska                      ","68130",2518,"2021-05-28"
11472,"for_sale                      ",350000,4,4,"0.23",1003192,"Omaha","Nebraska                      ","68164",3497,"1994-04-18"
8035,"for_sale                      ",250000,3,2,"0.13",1525394,"Omaha","Nebraska                      ","68164",1588,"2022-01-31"
8035,"for_sale                      ",335000,4,3,"0.24",233866,"Omaha","Nebraska                      ","68154",3401,NULL
69077,"for_sale                      ",180000,3,2,"0.19",1492224,"Omaha","Nebraska                      ","68104",1419,"2021-04-21"
11472,"for_sale                      ",139500,3,2,"0.15",774482,"Omaha","Nebraska                      ","68111",1108,NULL
67751,"for_sale                      ",125000,3,3,"0.15",1196946,"Omaha","Nebraska                      ","68107",2207,"2022-01-04"
83670,"for_sale                      ",229500,4,3,"0.12",949172,"Omaha","Nebraska                      ","68105",1514,"2012-07-02"
11472,"for_sale                      ",225000,3,2,"0.16",1587190,"Omaha","Nebraska                      ","68138",1492,"2017-06-20"
67749,"for_sale                      ",299999,2,2,"0.13",699944,"Omaha","Nebraska                      ","68104",1176,"2015-06-09"
11472,"for_sale                      ",260000,3,3,"0.27",833656,"Omaha","Nebraska                      ","68130",2317,"2014-10-24"
98664,"for_sale                      ",434900,4,4,"0.33",1401823,"Omaha","Nebraska                      ","68116",4066,"2006-03-15"
52721,"for_sale                      ",155000,3,1,"0.14",1199562,"Omaha","Nebraska                      ","68104",1342,"2016-12-29"
15501,"for_sale                      ",220000,3,1,"0.15",1593456,"Omaha","Nebraska                      ","68106",1290,"2020-08-13"
84393,"for_sale                      ",240000,3,2,"0.12",1780389,"Omaha","Nebraska                      ","68122",1322,"2019-08-01"
8035,"for_sale                      ",240000,4,3,"0.24",567702,"Omaha","Nebraska                      ","68144",2100,"2016-06-23"
11296,"for_sale                      ",237500,3,2,"17",1028186,"Omaha","Nebraska                      ","68144",1560,"2018-10-31"
