"brokered_by","status","price","bed","bath","acre_lot","street","city","state","zip_code","house_size","prev_sold_date"
94592,"for_sale                      ",235000,2,2,"0.12",1692675,"Charles City","Iowa                          ","50616",1300,"2021-01-14"
94592,"for_sale                      ",235000,2,2,"0.12",1690301,"Charles City","Iowa                          ","50616",1300,"2021-01-14"
94592,"for_sale                      ",235000,2,2,"0.14",1694774,"Charles City","Iowa                          ","50616",1300,"2021-01-14"
19193,"for_sale                      ",210000,4,3,"0.22",75408,"Charles City","Iowa                          ","50616",3092,"2022-05-06"
20031,"for_sale                      ",128000,2,1,"0.14",31808,"Charles City","Iowa                          ","50616",1144,NULL
54917,"for_sale                      ",159900,3,2,"0.11",92019,"Riceville","Iowa                          ","50466",1456,"2009-08-13"
19193,"for_sale                      ",395000,5,3,"1.83",911989,"Charles City","Iowa                          ","50616",3193,"2022-05-01"
56288,"for_sale                      ",48900,4,2,"0.5",1337332,"Hanlontown","Iowa                          ","50444",1904,NULL
83453,"for_sale                      ",72000,3,2,"0.21",93417,"Lake Mills","Iowa                          ","50450",1639,NULL
41845,"for_sale                      ",115000,4,1,"0.32",620744,"Hanlontown","Iowa                          ","50444",1371,NULL
41845,"for_sale                      ",59900,2,1,"0.2",936580,"Ventura","Iowa                          ","50482",936,NULL
83453,"for_sale                      ",150000,3,3,"0.24",68449,"Lake Mills","Iowa                          ","50450",1410,"2020-03-23"
83453,"for_sale                      ",235000,4,2,"8.81",1345664,"Lake Mills","Iowa                          ","50450",2112,NULL
82509,"for_sale                      ",234000,1,1,"3.39",614390,"Storm Lake","Iowa                          ","50588",931,NULL
82509,"for_sale                      ",219000,1,1,"3.39",614398,"Storm Lake","Iowa                          ","50588",852,NULL
82509,"for_sale                      ",325000,4,3,"0.3",1574222,"Alta","Iowa                          ","51002",2539,NULL
82509,"for_sale                      ",199000,1,1,"3.39",614385,"Storm Lake","Iowa                          ","50588",852,NULL
30590,"for_sale                      ",129900,4,3,"0.32",1695382,"Armstrong","Iowa                          ","50514",2304,NULL
30505,"for_sale                      ",127900,3,1,"0.23",1768178,"Armstrong","Iowa                          ","50514",1300,NULL
15942,"for_sale                      ",194900,3,2,"0.31",76271,"Armstrong","Iowa                          ","50514",2464,NULL
34568,"for_sale                      ",64900,3,1,"0.16",1468639,"Armstrong","Iowa                          ","50514",1248,NULL
67420,"for_sale                      ",52900,2,1,"0.15",1329396,"Armstrong","Iowa                          ","50514",926,NULL
52900,"for_sale                      ",178000,3,2,"0.4",826950,"Emmetsburg","Iowa                          ","50536",1472,NULL
34582,"for_sale                      ",424000,3,3,"1.16",47774,"Emmetsburg","Iowa                          ","50536",3128,"2019-07-15"
33718,"for_sale                      ",179900,3,3,"0.31",206644,"Estherville","Iowa                          ","51334",1501,NULL
47397,"for_sale                      ",89900,3,2,"0.28",698752,"Estherville","Iowa                          ","51334",1698,"2013-05-31"
21145,"for_sale                      ",119900,3,2,"0.14",1800775,"Estherville","Iowa                          ","51334",1130,"2019-09-30"
34582,"for_sale                      ",180000,4,4,"1.04",690320,"Emmetsburg","Iowa                          ","50536",2034,"2006-01-06"
30590,"for_sale                      ",462000,4,3,"0.43",1323271,"Dolliver","Iowa                          ","50531",3323,NULL
45366,"for_sale                      ",249900,3,2,"2.87",1047961,"Ayrshire","Iowa                          ","50515",1344,NULL
34568,"for_sale                      ",250000,1,1,"1.08",1058605,"Ayrshire","Iowa                          ","50515",624,"2014-05-12"
34582,"for_sale                      ",197500,3,1,"0.4",736371,"Emmetsburg","Iowa                          ","50536",1713,NULL
22050,"for_sale                      ",69900,1,1,"0.2",393955,"Ruthven","Iowa                          ","51358",1016,NULL
30590,"for_sale                      ",148000,3,2,"0.25",939788,"Graettinger","Iowa                          ","51342",1600,"2018-05-22"
33745,"for_sale                      ",125000,2,2,"0.2",1572094,"Emmetsburg","Iowa                          ","50536",1200,"2019-07-16"
34582,"for_sale                      ",159900,2,2,"0.21",1582137,"Emmetsburg","Iowa                          ","50536",1348,"2013-10-22"
34582,"for_sale                      ",137900,3,2,"0.2",1579150,"Emmetsburg","Iowa                          ","50536",1260,NULL
30691,"for_sale                      ",95000,4,3,"0.3",567862,"Emmetsburg","Iowa                          ","50536",2736,NULL
34582,"for_sale                      ",299000,2,2,"2.02",1081575,"Emmetsburg","Iowa                          ","50536",1781,NULL
69844,"for_sale                      ",229000,4,2,"3.68",1111156,"Graettinger","Iowa                          ","51342",1456,"2020-11-23"
52900,"for_sale                      ",225000,5,2,"3.88",1291862,"West Bend","Iowa                          ","50597",2104,NULL
30691,"for_sale                      ",199500,4,2,"4.04",1356592,"Cylinder","Iowa                          ","50528",1874,"2015-10-13"
78765,"for_sale                      ",168000,3,1,"4.13",1353449,"Cylinder","Iowa                          ","50528",1710,NULL
67420,"for_sale                      ",67500,3,1,"0.2",24708,"Emmetsburg","Iowa                          ","50536",1704,"2019-01-14"
34568,"for_sale                      ",350000,3,2,"0.07",1046944,"Ruthven","Iowa                          ","51358",1344,"2013-07-08"
30590,"for_sale                      ",42400,5,2,"0.38",1156884,"Dickens","Iowa                          ","51333",2600,"2021-12-07"
34582,"for_sale                      ",159900,3,2,"0.2",26373,"Emmetsburg","Iowa                          ","50536",1745,NULL
34568,"for_sale                      ",159900,3,2,"0.2",396895,"Emmetsburg","Iowa                          ","50536",1110,"2020-02-24"
34568,"for_sale                      ",339000,5,3,"0.54",915791,"Emmetsburg","Iowa                          ","50536",3070,"2015-06-29"
57463,"for_sale                      ",339900,4,3,"0.25",469790,"Badger","Iowa                          ","50516",1806,NULL
100303,"for_sale                      ",156900,3,2,"0.18",1455353,"Dakota City","Iowa                          ","50529",1440,"2015-11-30"
100303,"for_sale                      ",54500,1,1,"0.15",624613,"Dakota City","Iowa                          ","50529",720,NULL
40627,"for_sale                      ",145000,3,2,"0.25",962063,"Humboldt","Iowa                          ","50548",1644,"2009-04-06"
92446,"for_sale                      ",147000,2,2,"0.24",207144,"Humboldt","Iowa                          ","50548",952,NULL
68755,"for_sale                      ",174000,3,2,"4.29",857915,"Ringsted","Iowa                          ","50578",1736,"2020-11-19"
30505,"for_sale                      ",19900,1,1,"0.16",166012,"Ringsted","Iowa                          ","50578",540,NULL
81541,"for_sale                      ",82500,2,1,"0.23",1376130,"Manson","Iowa                          ","50563",924,"2021-09-01"
81541,"for_sale                      ",269900,4,1,"5.76",96759,"Manson","Iowa                          ","50563",2059,"2019-06-18"
92343,"for_sale                      ",159000,5,2,"0.26",630171,"Rockwell City","Iowa                          ","50579",1904,"2021-11-22"
27407,"for_sale                      ",168000,3,2,"0.26",1602362,"Rockwell City","Iowa                          ","50579",2026,NULL
92446,"for_sale                      ",70000,2,2,"0.52",638249,"Bode","Iowa                          ","50519",1609,"2013-04-23"
46156,"for_sale                      ",89900,4,2,"0.16",965896,"Humboldt","Iowa                          ","50548",1464,NULL
91800,"for_sale                      ",21900,3,1,"0.21",619801,"Rolfe","Iowa                          ","50581",1323,NULL
69863,"for_sale                      ",79500,2,1,"0.19",1144453,"Rolfe","Iowa                          ","50581",1144,"2019-08-22"
46156,"for_sale                      ",139900,4,3,"0.31",633538,"Humboldt","Iowa                          ","50548",2514,"2016-06-30"
27407,"for_sale                      ",92500,3,2,"0.23",247782,"Manson","Iowa                          ","50563",1104,"2007-05-24"
100303,"for_sale                      ",119900,3,1,"0.16",91374,"Humboldt","Iowa                          ","50548",1225,NULL
27407,"for_sale                      ",169000,4,1,"0.35",446416,"Manson","Iowa                          ","50563",1941,NULL
52900,"for_sale                      ",229000,2,2,"0.34",1579760,"West Bend","Iowa                          ","50597",2619,"2000-08-12"
81541,"for_sale                      ",90000,3,2,"0.12",50520,"Manson","Iowa                          ","50563",1869,"2019-06-26"
27407,"for_sale                      ",130000,3,3,"0.28",292010,"Manson","Iowa                          ","50563",3000,NULL
57463,"for_sale                      ",250000,3,3,"0.9",457997,"Fort Dodge","Iowa                          ","50501",1848,NULL
30554,"for_sale                      ",370000,3,2,"3.29",134470,"Clare","Iowa                          ","50524",1634,NULL
81541,"for_sale                      ",69500,3,2,"0.08",86016,"Gilmore City","Iowa                          ","50541",1503,"2019-07-10"
92446,"for_sale                      ",279900,4,3,"0.27",565721,"Humboldt","Iowa                          ","50548",1466,NULL
106679,"for_sale                      ",156000,3,2,"0.2",1156283,"West Bend","Iowa                          ","50597",1212,"2019-11-22"
46156,"for_sale                      ",129900,2,1,"0.22",1458058,"Humboldt","Iowa                          ","50548",816,"2018-07-06"
40833,"for_sale                      ",287000,4,2,"1",311483,"Fort Dodge","Iowa                          ","50501",1167,"2015-09-16"
92446,"for_sale                      ",124900,2,2,"0.19",335848,"Humboldt","Iowa                          ","50548",1038,"2010-09-24"
27407,"for_sale                      ",149000,1,1,"8.44",1397712,"Gilmore City","Iowa                          ","50541",1032,NULL
